block,method,num_agents,obs_radius,seed,isr,csr,makespan
main,A* Only,8,5,90061,1.0,1.0,64
main,A* Only,8,5,90062,0.75,0.0,
main,A* Only,8,5,90063,1.0,1.0,167
main,A* Only,8,5,90064,0.75,0.0,
main,A* Only,8,5,90065,1.0,1.0,57
main,A* Only,8,5,90066,1.0,1.0,64
main,A* Only,8,5,90067,0.75,0.0,
main,A* Only,8,5,90068,1.0,1.0,107
main,A* Only,8,5,90069,1.0,1.0,98
main,A* Only,8,5,90070,1.0,1.0,88
main,A* Only,8,5,90071,1.0,1.0,69
main,A* Only,8,5,90072,1.0,1.0,67
main,A* Only,8,5,90073,1.0,1.0,111
main,A* Only,8,5,90074,1.0,1.0,117
main,A* Only,8,5,90075,1.0,1.0,60
main,A* Only,8,5,90076,0.75,0.0,
main,A* Only,8,5,90077,1.0,1.0,61
main,A* Only,8,5,90078,1.0,1.0,54
main,A* Only,8,5,90079,0.75,0.0,
main,A* Only,8,5,90080,1.0,1.0,56
main,A* Only,8,5,90081,0.75,0.0,
main,A* Only,8,5,90082,1.0,1.0,108
main,A* Only,8,5,90083,1.0,1.0,70
main,A* Only,8,5,90084,1.0,1.0,52
main,A* Only,8,5,90085,1.0,1.0,60
main,A* Only,8,5,90086,1.0,1.0,60
main,A* Only,8,5,90087,0.75,0.0,
main,A* Only,8,5,90088,1.0,1.0,35
main,A* Only,8,5,90089,1.0,1.0,63
main,A* Only,8,5,90090,1.0,1.0,63
main,A* Only,8,5,90091,1.0,1.0,86
main,A* Only,8,5,90092,1.0,1.0,38
main,A* Only,8,5,90093,1.0,1.0,81
main,A* Only,8,5,90094,1.0,1.0,99
main,A* Only,8,5,90095,1.0,1.0,65
main,A* Only,8,5,90096,1.0,1.0,146
main,A* Only,8,5,90097,1.0,1.0,54
main,A* Only,8,5,90098,1.0,1.0,130
main,A* Only,8,5,90099,0.625,0.0,
main,A* Only,16,5,90000,1.0,1.0,80
main,A* Only,16,5,90001,0.875,0.0,
